fixed,fixed,contents,calculated,dc.title.alternative,dc.contributor.author,dc.contributor,fixed,dc.subject,pls.person,pls.organization,dc.coverage.spatial,fixed,dc.dateOriginal,dc.date.issued,dc.publisher,pls.publicationPlace,dcterms.abstract,dc.description,fixed,fixed,fixed,dcterms.extent,dc.language.iso,,fixed,fixed,fixed,fixed
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2632-001.tif;701-151-005-2632-002.tif,701-151-005-2632-001,Polish Soldiers Playing Volleyball,,,Author,Volleyball;World War (1939-1945);Air pilots;Soldiers--Recreation,,Poland. Polskie Siły Zbrojne,Scotland,1939/1945,,1945,,,Polish airmen playing volleyball. The first photo shows a crowd of soldiers watching a volleyball being spiked. The other photo shows a group of soldiers in the middle of a match.,,still image,photographs,black-and-white photographs,12x8 cm; 17x22 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2633-001.tif,701-151-005-2633-001,Polish Soldiers Playing Basketball,,,Author,World War (1939-1945);Basketball;Soldiers--Recreation,,Poland. Polskie Siły Zbrojne,,1939/1945,,,,,Sports make the army life easier. A group of soldiers participate in a basketball game. Two soldiers are in the midst of making a shot into the hoop.,,still image,photographs,black-and-white photographs,22x17 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2634-001.tif;701-151-005-2634-002.tif,701-151-005-2634-001,Polish Soldiers Practice Boxing,,,Author,World War (1939-1945);Boxing;Boxing matches;Soldiers--Recreation,,Poland. Polskie Siły Zbrojne,,1939/1945,,,"Swiatowy Zwiazek Polakow Z Zagranicy, Republic of Poland, Ministry of Information, Photo Service",,Soldiers participate in a boxing match. One soldier is seen in both photos. All three of the soldiers are seen in a fighting stance.,Numbers on the back: 5;Care 4,still image,photographs,black-and-white photographs,13x11 cm; 22x17 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2471-001.tif,701-151-005-2471-001,Destroyed bridge in Tczew,,,Author,World War (1939-1945);Bridges,Kiedrowicz,Poland. Polskie Siły Zbrojne,Poland--Tczew;Poland--Vistula River,1939/1945,,1939-09-01,Polish Information Center,,"A bridge on the Vistula, Tczew, Polish Pomerania. The Germans wished to get this bridge undamaged, but things turned out differently thanks to the bravery of the Polish corporal Kiedrowicz.","Numbers on the back: A1, 18796-3, 36, II",still image,photographs,black-and-white photographs,21x26 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2856-001.tif,701-151-005-2856-001,Inspection of the ORP Ślązak,,,Author,World War (1939-1945),,Destroyer (Ship);Poland. Polskie Siły Zbrojne;Ślązak (Destroyer),Egypt--Alexandria,1939/1945,,1944,,,"A British Flag Officer inspecting the Polish destroyer ""Ślązak.""",Numbers on the back: 40200,still image,photographs,black-and-white photographs,16x22 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2660-001.tif,701-151-005-2660-001,Polish Soldier with a Requiem that Remembers the Murdered Polish Professors,,,Author,Requiem Mass;World War (1939-1945);Catholic Church;Soldiers--Religious life,,Poland. Polskie Siły Zbrojne,,1939/1945,,,,,In memoriam of the Polish professors murdered by the Germans. The photo shows one of the soldiers praying in a church.,Numbers on the back: 5,still image,photographs,black-and-white photographs,17x22 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2687-001.tif,701-151-005-2687-001,"Sikorski, Świrski, and Thorne (Scotland)",,,Author,World War (1939-1945);Generals,"Sikorski, Władysław;Thorne, Andrew;Świrski, Jerzy",Poland. Polskie Siły Zbrojne;Great Britain. Army,Scotland,1939/1945,,,"Republic of Poland, Ministry of Information, Photo Service",,"From left to right: Admiral Świrski, General Thorne, Commander of the British forces in Scotland, and General Sikorski. The three men are laughing and having a conversation with each other.","No. 390;Censorship No. 244349;Numbers on the back: 210, II",still image,photographs,black-and-white photographs,13x17 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2954-001.tif,701-151-005-2954-001,J. Krajewski in an Airplane,,,Author,World War (1939-1945);Spitfire (Fighter plane);Fighter pilots,"Krajewski, Jan",Poland. Polskie Siły Zbrojne;Poland. Polskie Siły Powietrzne,England,1939/1945,,1944,,,"Polish Wing in Tactical Air Force. Jan Krajewski, Virtuti Militari, Cross of Valour with Bar, who in 1944, although gravely wounded, brought his Spitfire back from Holland to an English airfield, on a visit to a Polish Wing in the Tactical Air Force.",No. 50041,still image,photographs,black-and-white photographs,12x17 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2596-001.tif;701-151-005-2596-002.tif,701-151-005-2596-001,"Scottish Celebration (General Sikorski, President Raczkiewicz)",,,Author,World War (1939-1945);Flags;Soldiers;Anniversaries,"Sikorski, Władysław;Raczkiewicz, Władysław",Poland. Polskie Siły Zbrojne;Great Britain. Army,Scotland,1939/1945,,,"Republic of Poland, The Ministry of Information, Photo Service",,The mayor of one of the Scottish cities is holding a military banner for President Raczkiewicz. General Sikorski is standing beside the President. Polish and British soldiers are present in the crowd.,"No. 120;Numbers on the back: 35, 4, D, 9, 5, 64, II",still image,photographs,black-and-white photographs,7x9 cm; 12x17 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2568-001.tif,701-151-005-2568-001,General Sikorski Awards the Virtuti Militari to an Aviator's Wife,,,Author,World War (1939-1945);Military Decorations;Air pilots;Order Virtuti Militari;Military spouses;Generals;Women soldiers,"Sikorski, Władysław;Kwieciński, Bogdan",Poland. Polskie Siły Zbrojne,,1939/1945,,1943-03-10,"Republic of Poland, Ministry of Information, Photo Service",,General Sikorski awards the Virtuti Militari to the wife of an aviator that is in German captivity.,"Numbers on the back: 24, II;Karat",still image,photographs,black-and-white photographs,10x13 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-4901-001.tif,701-151-005-4901-001,Corridor filled with patients in a hospital of the 7th Infantry Division,,,Author,Hospitals;Medical care;Medical personnel;World War (1939-1945);Soldiers;Soviet Union,,"Poland. Polskie Siły Zbrojne. Dywizja Piechoty, 7",Uzbekistan--Kermine,1939/1945,,1942,,,"1942. 7th Infantry Division of Anders' Army in the USSR. Kermine Hospital, Uzbekistan. The picture shows sick patients lying in a corridor. Nurses and soldiers take care of patients.","Teczka Nr. 2, Kop Nr. 1;Numbers on the back: 2426, No. 10, 7 Dyw",still image,photographs,black-and-white photographs,10x7 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
